strainID,CC_or_ST,CC_or_ST:color,Source,Source:color,tet_gene,tet_gene:color,Quinolone_gene,Quinolone_gene:color,macrolide_gene,macrolide_gene:color,aminoglycoside_gene,aminoglycoside_gene:color
HP12592,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,rpsL_K43R,#0000ff
B-43-1-87,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-41,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
R2-Cj-B-70,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-53,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12552,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-44,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-85,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
B-32-1-76,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-105,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12158,ST-21 complex,#E60012,Human,#FF0000,tet(O)^,#67991C,gyrA_T86I,#916523,None,#CCCCCC,"aadE,rpsL_K43R,ant(6)-Ia^,aph(3')-IIIa",#FF0080
HP12236,ST-61 complex,#00A0E9,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12655,ST-61 complex,#00A0E9,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-53,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-90,ST-61 complex,#00A0E9,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC41,ST-61 complex,#00A0E9,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-78,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-10,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-65,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
B-43-1-43,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O/M/O)^,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12216,ST-61 complex,#00A0E9,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12215,ST-61 complex,#00A0E9,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-32,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-51,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K43R,#0000ff
R1-Cj-B-62,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
B-29-1-29,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-25,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-18,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-50,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-204-1-37,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-116,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12248,ST-61 complex,#00A0E9,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-57,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-1,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-77,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-15,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-96,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-59,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-29,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-116,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-98,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-74,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
R1-Cj-B-54,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
C-10-1-1-109,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-C-55-1-1-28,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
30-CJ-B-208-1-40,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-32,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-38,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12225,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12533,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12515,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12528,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-B-233-1-45,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-163-1-24,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-31,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-19,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-3,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-13,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-1,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-72,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-79,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K88R,#FF0080
R1-Cj-B-17,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-40,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-34,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-33,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC13,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-95,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-24,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-109,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-90,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12646,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC46,ST-21 complex,#E60012,Chicken_meat,#00FF00,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-80,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-42,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K43R,#0000ff
R2-Cj-B-28,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-72,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-63,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-243-1-49,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-80,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12545,ST-21 complex,#E60012,Human,#FF0000,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-78,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12589,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-76,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-36,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-95,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-102,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-61,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-14,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-43,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,50S_L22_G86E,#FF0080,None,#CCCCCC
R1-Cj-B-56,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-75,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K43R,#0000ff
R2-Cj-B-109,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,None,#CCCCCC
R2-Cj-B-117,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,None,#CCCCCC
30-CJ-B-197-1-32,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-198-1-33,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-24,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-213-1-41,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12503,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-11,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-5,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12535,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12170,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12219,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-34,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12622,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12653,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12564,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12511,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC32,ST-21 complex,#E60012,Chicken_meat,#00FF00,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12633,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12151,ST-21 complex,#E60012,Human,#FF0000,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12148,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12140,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-19,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-77,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC45,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12501,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12223,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-65,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-67,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12155,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,"gyrA_D90N,gyrA_T86I",#FFCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-22-2-1-14,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-21,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-14,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-C-7-1-1-1,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-C-38-1-1-17,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12156,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12166,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12154,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12185,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12652,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-50,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-69,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-48,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12578,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12637,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12575,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-52,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
C-2-1-1-19,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12591,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12629,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-44,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-38,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-170-1-1-83,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-169-1-1-81,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-124-1-1-67,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12594,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12172,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12147,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12197,,,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12617,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12198,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O),#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12141,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O),#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
